Time_ms,Green_lp,Red_lp,IR_lp,Off_lp,,,
3016.593,1993.157766,3221.928138,2954.503953,1653.975374,,,
3024.313,1993.431869,3222.528788,2955.024009,1653.929049,,,
3032.4,1993.751178,3223.139286,2955.53563,1653.845569,,,
3040.456,1994.093389,3223.715292,2956.00826,1653.733223,,,
3048.543,1994.454723,3224.237988,2956.431289,1653.592254,,,
3056.63,1994.82055,3224.68858,2956.794566,1653.430697,,,
3064.35,1995.162371,3225.034661,2957.074386,1653.262401,,,
3072.437,1995.495563,3225.281091,2957.275591,1653.077057,,,
3080.524,1995.790586,3225.403069,2957.376595,1652.889229,,,
3088.611,1996.025404,3225.368716,2957.347697,1652.704949,,,
3096.331,1996.181398,3225.186572,2957.190553,1652.537281,,,
3104.418,1996.259212,3224.829213,2956.874959,1652.37439,,,
3112.505,1996.228732,3224.283961,2956.37943,1652.229282,,,
3120.592,1996.089883,3223.568299,2955.711244,1652.102494,,,
3128.312,1995.836476,3222.712192,2954.887199,1652.001753,,,
3136.399,1995.44938,3221.658429,2953.842434,1651.915957,,,
3144.455,1994.937343,3220.46109,2952.618098,1651.850003,,,
3152.542,1994.291232,3219.124367,2951.203685,1651.802628,,,
3160.629,1993.532709,3217.690021,2949.637426,1651.769765,,,
3168.349,1992.702531,3216.247179,2948.00571,1651.750408,,,
3176.436,1991.744518,3214.695494,2946.19084,1651.738284,,,
3184.523,1990.711799,3213.132031,2944.295829,1651.731211,,,
3192.61,1989.621996,3211.592904,2942.353962,1651.725465,,,
3200.33,1988.553698,3210.170539,2940.492984,1651.718187,,,
3208.417,1987.425194,3208.76766,2938.573969,1651.705279,,,
3216.504,1986.311953,3207.472639,2936.721469,1651.684925,,,
3224.591,1985.234562,3206.306619,2934.968435,1651.655381,,,
3232.311,1984.264152,3205.34344,2933.430626,1651.616616,,,
3240.398,1983.316965,3204.483684,2931.970366,1651.565938,,,
3248.454,1982.469054,3203.808546,2930.716244,1651.504108,,,
3256.541,1981.717028,3203.300656,2929.662267,1651.432656,,,
3264.628,1981.070155,3202.960901,2928.826156,1651.353292,,,
3272.348,1980.562399,3202.80139,2928.258987,1651.271632,,,
3280.435,1980.129081,3202.775452,2927.877693,1651.182795,,,
3288.522,1979.804347,3202.899098,2927.739417,1651.092565,,,
3296.609,1979.5704,3203.143554,2927.814951,1651.003243,,,
3304.329,1979.421766,3203.473863,2928.072959,1650.920183,,,
3312.416,1979.33524,3203.907409,2928.529213,1650.836647,,,
3320.503,1979.298923,3204.402856,2929.133276,1650.756404,,,
3328.59,1979.302736,3204.945679,2929.870827,1650.67903,,,
3336.677,1979.328919,3205.511752,2930.698793,1650.602658,,,
3344.397,1979.363574,3206.05756,2931.543639,1650.528797,,,
3352.453,1979.39866,3206.614109,2932.448831,1650.447839,,,
3360.54,1979.424712,3207.145666,2933.346762,1650.360501,,,
3368.627,1979.433945,3207.631586,2934.197419,1650.263861,,,
3376.347,1979.424626,3208.043447,2934.938355,1650.161779,,,
3384.434,1979.394851,3208.410826,2935.615308,1650.043737,,,
3392.521,1979.344526,3208.699192,2936.158788,1649.913844,,,
3400.608,1979.278596,3208.910995,2936.565665,1649.774685,,,
3408.695,1979.20013,3209.035099,2936.809956,1649.628137,,,
3416.415,1979.119541,3209.076301,2936.89566,1649.485541,,,
3424.502,1979.034562,3209.041824,2936.834372,1649.337733,,,
3432.589,1978.955645,3208.928035,2936.616128,1649.197924,,,
3440.676,1978.887524,3208.751208,2936.271349,1649.071109,,,
3448.396,1978.83836,3208.527764,2935.830844,1648.96946,,,
3456.452,1978.80636,3208.254662,2935.287703,1648.888253,,,
3464.539,1978.796551,3207.952987,2934.682162,1648.837269,,,
3472.626,1978.812371,3207.639847,2934.045646,1648.824366,,,
3480.346,1978.848496,3207.345746,2933.438817,1648.846115,,,
